iter	Logloss
0	0.6738828425
1	0.6550830714
2	0.6418067531
3	0.6272433714
4	0.6152535336
5	0.6049904698
6	0.5963606926
7	0.588075745
8	0.5807857132
9	0.5719230897
10	0.5648339503
11	0.5584294789
12	0.5536923577
13	0.5483741812
14	0.5434824298
15	0.5389424415
16	0.5355432989
17	0.5316442579
18	0.527794051
19	0.5236583037
20	0.5200108042
21	0.5164252457
22	0.5141159984
23	0.5110727091
24	0.5087506668
25	0.5069249074
26	0.5047781432
27	0.5031942779
28	0.5010047267
29	0.4993519649
30	0.4980424607
31	0.4969486787
32	0.4951372018
33	0.4940096109
34	0.4933432892
35	0.492308946
36	0.4916981832
37	0.4901252649
38	0.4891633917
39	0.488559641
40	0.4877523475
41	0.4865685781
42	0.4859096093
43	0.4850633187
44	0.4839408287
45	0.4833505921
46	0.482617671
47	0.4820127583
48	0.4815308861
49	0.4811308361
50	0.4805225053
51	0.4800401275
52	0.4796761058
53	0.479357114
54	0.4789728176
55	0.478542959
56	0.4780389908
57	0.4778115971
58	0.4774618978
59	0.4767660829
60	0.4761936766
61	0.475767213
62	0.4751527681
63	0.473984233
64	0.4737970942
65	0.4735282069
66	0.4733802507
67	0.4729157894
68	0.4721991045
69	0.4715031348
70	0.4708389214
71	0.4702078022
72	0.4699011279
73	0.4694363278
74	0.468888548
75	0.4687705768
76	0.4681892952
77	0.4680337243
78	0.4670989915
79	0.4667508896
80	0.4664361357
81	0.4660923237
82	0.4660860452
83	0.4659544879
84	0.4655620694
85	0.4655211125
86	0.4652684488
87	0.465193167
88	0.4647692764
89	0.4644725119
90	0.4644589835
91	0.4639234425
92	0.463612379
93	0.462944241
94	0.4626668842
95	0.4626056943
96	0.46256125
97	0.4620370285
98	0.4616764107
99	0.4611885373
100	0.4609785374
101	0.4606432288
102	0.4601545194
103	0.4597332147
104	0.4593970401
105	0.4592389694
106	0.4588355263
107	0.4581365718
108	0.457765297
109	0.457585927
110	0.4575380707
111	0.4572692999
112	0.4569668217
113	0.4567101088
114	0.4566409972
115	0.4566409838
116	0.4561010119
117	0.4557836189
118	0.4555391884
119	0.454861066
120	0.4542359056
121	0.4542359052
122	0.4540051401
123	0.4536254763
124	0.4532278518
125	0.4530720176
126	0.452769839
127	0.4527698361
128	0.4527168036
129	0.4525860396
130	0.4524338087
131	0.4524160209
132	0.4523859575
133	0.4522000453
134	0.451957092
135	0.4518751059
136	0.4513254102
137	0.4513254004
138	0.4513253922
139	0.4510965695
140	0.4508969971
141	0.4504459743
142	0.4503742484
143	0.4503336279
144	0.4503336224
145	0.4501365379
146	0.450136532
147	0.4501222476
148	0.4496838761
149	0.4496709442
150	0.4496038909
151	0.4491928365
152	0.4490124397
153	0.4487700216
154	0.4485458522
155	0.4475705059
156	0.4473713254
157	0.4473569554
158	0.4471749275
159	0.4470334716
160	0.4468649423
161	0.4464920529
162	0.4462135394
163	0.4460387172
164	0.445324795
165	0.4451113016
166	0.4447190668
167	0.4446793958
168	0.4446662465
169	0.4443483779
170	0.444265734
171	0.4441752433
172	0.443625216
173	0.4432500037
174	0.4428183475
175	0.4425015371
176	0.4420775932
177	0.4417472461
178	0.4416095296
179	0.4413407463
180	0.441186668
181	0.4410026286
182	0.4408124965
183	0.440481423
184	0.440303399
185	0.4402183354
186	0.4399750542
187	0.439331271
188	0.4389354842
189	0.4387512973
190	0.4385047883
191	0.4381901197
192	0.4379035545
193	0.4375753874
194	0.4371539213
195	0.4367784389
196	0.4365662672
197	0.4361436703
198	0.4358446113
199	0.4353881553
200	0.4351922712
201	0.4350859277
202	0.4348272299
203	0.4345448289
204	0.434324931
205	0.4339725512
206	0.4336805595
207	0.43322415
208	0.4329421887
209	0.432456861
210	0.4323790697
211	0.4321304297
212	0.4318680687
213	0.4318133441
214	0.4314836711
215	0.4312229053
216	0.4306329164
217	0.430287943
218	0.4300812355
219	0.4297758677
220	0.428978244
221	0.4282686954
222	0.4279404168
223	0.4277155485
224	0.4272071175
225	0.4269399348
226	0.4265221919
227	0.4260852544
228	0.4256527227
229	0.4253848259
230	0.4253079038
231	0.4251270556
232	0.4248965742
233	0.4246740386
234	0.4243594178
235	0.4242337267
236	0.4238745801
237	0.423457728
238	0.4232772416
239	0.4228496028
240	0.4226198244
241	0.4224526365
242	0.4221115643
243	0.4216716955
244	0.4214833066
245	0.4211250157
246	0.4207035517
247	0.420313483
248	0.4199888742
249	0.419598992
250	0.4190090293
251	0.4187923771
252	0.4180707012
253	0.4178553098
254	0.4174061682
255	0.4172040059
256	0.4168236223
257	0.4165729309
258	0.4162872641
259	0.4161389645
260	0.4158247594
261	0.4154560082
262	0.4153276818
263	0.4150258752
264	0.4148521877
265	0.4144204803
266	0.4140025145
267	0.4135539713
268	0.4132941162
269	0.4131239788
270	0.4130258796
271	0.4128238456
272	0.4125034009
273	0.4122833247
274	0.4120661855
275	0.4117060974
276	0.4114389876
277	0.4111878685
278	0.4108845541
279	0.4106571925
280	0.4104693528
281	0.4099890178
282	0.4098123065
283	0.4095607034
284	0.4093571353
285	0.4088897632
286	0.4085982655
287	0.4083963707
288	0.4079443493
289	0.4076773803
290	0.4074484399
291	0.407432584
292	0.407193216
293	0.4069715356
294	0.4067633514
295	0.4065352363
296	0.4064093472
297	0.4060697546
298	0.4059127155
299	0.405794351
300	0.4054822888
301	0.405317862
302	0.4051548856
303	0.4048730011
304	0.4046856822
305	0.404479321
306	0.4044022328
307	0.4041373636
308	0.4038521062
309	0.4033117444
310	0.4031947102
311	0.4030607574
312	0.4028818068
313	0.4025910332
314	0.4024130886
315	0.4022254358
316	0.4020871191
317	0.401757942
318	0.4014287545
319	0.4011341612
320	0.4006929787
321	0.4004295346
322	0.4002717292
323	0.4000133388
324	0.3997352281
325	0.3995625202
326	0.3992476746
327	0.3991449274
328	0.3989352946
329	0.3988537093
330	0.3985597849
331	0.3983565132
332	0.3980249452
333	0.3978159105
334	0.3975194885
335	0.3973881978
336	0.3971998607
337	0.3967999692
338	0.3966792992
339	0.3963928701
340	0.396259368
341	0.3961200731
342	0.3960866021
343	0.3959738418
344	0.3957660127
345	0.3952933047
346	0.3951003678
347	0.3949006015
348	0.3946653704
349	0.3944576224
350	0.3942280039
351	0.3939230756
352	0.3935609014
353	0.3930309547
354	0.3926063259
355	0.3923610447
356	0.3921857263
357	0.3920794224
358	0.3919741645
359	0.3918444862
360	0.3915823744
361	0.3913311241
362	0.3911447401
363	0.3909967359
364	0.3906895542
365	0.3906061039
366	0.3900348438
367	0.3897945916
368	0.3895659516
369	0.3893928318
370	0.3891736852
371	0.3890668796
372	0.388940176
373	0.3887132368
374	0.3885271647
375	0.3884296132
376	0.3881684236
377	0.3878325959
378	0.3874380149
379	0.3873008954
380	0.3871872275
381	0.3868885659
382	0.3868670936
383	0.3867038343
384	0.3865629059
385	0.3863624457
386	0.3860396047
387	0.3858945117
388	0.3854215647
389	0.3851974261
390	0.3850150371
391	0.3848235399
392	0.3847524575
393	0.3845130551
394	0.3842289793
395	0.3841553997
396	0.3839697942
397	0.3838860037
398	0.3835191099
399	0.3831135527
400	0.3830129642
401	0.3828894432
402	0.3826918226
403	0.3826235427
404	0.3823479957
405	0.3821853065
406	0.3819969173
407	0.3817082569
408	0.381670169
409	0.3814889806
410	0.3811554977
411	0.381154455
412	0.3806553548
413	0.3804531746
414	0.3801478771
415	0.380006045
416	0.3797357512
417	0.3795797489
418	0.3794130279
419	0.3791994709
420	0.3789327734
421	0.3788233404
422	0.3786057795
423	0.3784421294
424	0.378138459
425	0.3779937447
426	0.3777103498
427	0.3776003538
428	0.3773045518
429	0.3772278503
430	0.3769739831
431	0.3768509871
432	0.3766208418
433	0.3764641428
434	0.3762285715
435	0.376019695
436	0.3759379367
437	0.375666947
438	0.3753082975
439	0.3752119472
440	0.3747909467
441	0.3747890406
442	0.3746205316
443	0.3745635234
444	0.3743733042
445	0.3740084844
446	0.3736446781
447	0.3734163956
448	0.3732065663
449	0.3728478118
450	0.3724658627
451	0.3724416594
452	0.3723798438
453	0.3720129641
454	0.3719558701
455	0.3717936398
456	0.3715772047
457	0.3715501825
458	0.3713577102
459	0.3712038515
460	0.3709026158
461	0.3708086185
462	0.3705451747
463	0.3702868694
464	0.3702052795
465	0.3700359602
466	0.36968558
467	0.3695170545
468	0.3693781571
469	0.3693224777
470	0.3691532768
471	0.3689482093
472	0.3688112339
473	0.36875668
474	0.3685951404
475	0.3684178041
476	0.3680927787
477	0.3679074314
478	0.367797469
479	0.3676563139
480	0.3674554495
481	0.3673893435
482	0.3672117585
483	0.3670980188
484	0.3670005907
485	0.3669580515
486	0.3668998308
487	0.3665926158
488	0.3663640921
489	0.3662137839
490	0.3661810718
491	0.3660261091
492	0.3657747002
493	0.3655239449
494	0.3652097721
495	0.3649943352
496	0.3646150326
497	0.3645622816
498	0.3644456386
499	0.3642651124
500	0.3642116736
501	0.3640728532
502	0.3639054691
503	0.3638301956
504	0.3637400742
505	0.3634264813
506	0.363279
507	0.3631689188
508	0.3631553237
509	0.3629491424
510	0.3625960659
511	0.3624871183
512	0.3623659502
513	0.3622929906
514	0.3622749679
515	0.3620584211
516	0.3618151498
517	0.3617343043
518	0.3615602616
519	0.361471918
520	0.3612760096
521	0.3610382592
522	0.3609561287
523	0.3607109739
524	0.3605769936
525	0.3605259492
526	0.3605026188
