iter	Passed	Remaining
0	202	202676
1	259	129724
2	285	94978
3	316	78731
4	346	68959
5	379	62877
6	450	63857
7	490	60822
8	515	56793
9	550	54523
10	590	53070
11	630	51911
12	676	51343
13	723	50967
14	760	49969
15	795	48932
16	833	48197
17	865	47238
18	922	47607
19	955	46826
20	994	46368
21	1037	46119
22	1079	45854
23	1117	45449
24	1159	45204
25	1201	44999
26	1240	44691
27	1279	44425
28	1317	44098
29	1348	43615
30	1392	43538
31	1434	43382
32	1474	43219
33	1515	43044
34	1534	42308
35	1571	42086
36	1592	41444
37	1635	41401
38	1680	41406
39	1708	41014
40	1749	40912
41	1788	40804
42	1830	40733
43	1878	40817
44	1917	40697
45	1959	40628
46	1993	40430
47	2030	40266
48	2073	40241
49	2112	40140
50	2152	40061
51	2193	39996
52	2222	39712
53	2267	39729
54	2304	39594
55	2346	39561
56	2386	39486
57	2405	39073
58	2444	38985
59	2480	38868
60	2521	38817
61	2554	38645
62	2586	38464
63	2621	38339
64	2658	38241
65	2672	37816
66	2689	37451
67	2727	37385
68	2762	37271
69	2796	37154
70	2831	37049
71	2868	36973
72	2903	36867
73	2945	36858
74	2982	36779
75	3000	36485
76	3037	36404
77	3066	36245
78	3101	36162
79	3141	36130
80	3178	36061
81	3215	35995
82	3227	35659
83	3246	35400
84	3287	35390
85	3305	35130
86	3340	35053
87	3369	34925
88	3415	34955
89	3466	35051
90	3483	34794
91	3521	34758
92	3558	34708
93	3600	34703
94	3637	34654
95	3669	34555
96	3694	34393
97	3731	34343
98	3767	34292
99	3805	34246
100	3844	34219
101	3893	34281
102	3939	34311
103	3986	34345
104	4035	34400
105	4079	34402
106	4116	34353
107	4153	34303
108	4197	34314
109	4234	34260
110	4273	34227
111	4312	34190
112	4349	34142
113	4384	34074
114	4408	33922
115	4415	33648
116	4450	33584
117	4488	33552
118	4526	33513
119	4560	33443
120	4593	33365
121	4601	33112
122	4636	33056
123	4672	33006
124	4707	32951
125	4742	32894
126	4776	32835
127	4785	32604
128	4827	32592
129	4860	32530
130	4892	32453
131	4903	32243
132	4921	32083
133	4962	32073
134	5000	32040
135	5034	31983
136	5068	31930
137	5077	31714
138	5084	31493
139	5120	31455
140	5158	31426
141	5198	31408
142	5229	31343
143	5248	31201
144	5255	30990
145	5286	30921
